,Dominant Attribute,Base Strength,Strength Growth,Base Agility,Agility Growth,Base Intelligence,Intelligence Growth,A,STR,STR+,STR30,AGI,AGI+,AGI30,INT,INT+,INT30,T,T+,T30,MS,AR,DMG(MIN),DMG(MAX),RG,AS,BAT,ATKPT,ATKBS,VS-D,VS-N,TR,COL,HP/S,L,Description,Release,Status,Release,Version
Doom,Strength,24,3.7,11,0.9,15,1.7,,24,3.7,131.3,11,0.9,37.1,15,1.7,64.3,50,6.3,232.7,285,4.83,58,68,200,100,1.9,0.5,0.7,1800,800,0.6,24,2.65,2,"Wings branded and visage twisted, the Fallen One bears little resemblance to his former self. Banished from the realm of light, Lucifer now walks the earth, bringing misery to all who stand against him. The towering demon Devours creeps in a single bite, digesting them whole and assimilating their abilities. The fires of Hell smolder at Lucifer's feet, leaving in his wake fields of Scorched Earth. When the bell of Vashundol tolls, an enemy's downfall is sure to follow. Lucifer places upon his adversary an enduring curse, burning away at its health and rendering it utterly powerless as it staggers towards its inevitable Doom.",2011-06-24,Beta,2004-02-03,0.60
Dragon Knight,Strength,21,3.4,19,2.0,18,1.7,,21,3.4,119.6,19,2.0,77.0,18,1.7,67.3,58,7.1,263.9,310,3.17,53,59,150,100,1.7,0.5,0.5,1800,800,0.6,24,2.35,2,"As Sir Davion slew Slyrak in arranged combat, the Eldwurm's blood mingled with his own, sealing their essences together. He was no longer a dragon-slayer, but a Dragon Knight. The infusion of Dragon Blood caused his wounds to heal with inhuman speed, and granted him great new powers. While nowhere as grand as Slyrak, he found himself with the ability to Breathe Fire, immolating packs of foes at once. But when Davion took on his Elder Dragon Form, he became the Eldwurm itself, and upon his awestruck enemies he rained projectiles of acid, fire, and ice.",2011-11-03,Beta,2004-03-01,2.60
Earth Spirit,Strength,22,3.8,17,2.4,20,2.1,,22,3.8,132.2,17,2.4,86.6,20,2.1,80.9,59,8.3,299.7,290,2.83,47,57,150,100,1.7,0.35,0.65,1800,800,0.6,24,3.2,2,"Reborn of stone and jade, Kaolin fights with strength gathered from a thousand years of entombment. The great general places, like pieces on a grand board, silent Stone Remnants for use in strategies known only to himself. A master of positioning, Kaolin knocks back foes with Boulder Smash, pulls close allies with Geomagnetic Grip, and freely manipulates his Remnants at will. Never one to lead from behind, Kaolin crashes into the fray as a Rolling Boulder. Foes are left stumbling away from battle, their health slipping as they try in vain to escape from the general's maze of Magnetized stone.",2013-11-14,Gold,2013-05-30,6.78
Earthshaker,Strength,22,3.7,12,1.4,18,2.1,,22,3.7,129.3,12,1.4,52.6,18,2.1,78.9,52,7.2,260.8,315,4.0,49,59,150,100,1.7,0.467,0.863,1800,800,0.9,24,3.2,2,"Woken from the depth of the earth, Raigor Stonehoof shapes the battlefield with seismic force. With his long ranged Fissure, the Earthshaker creates impassable terrain where none existed before. Up close, Raigor swings heavily with his Enchanted Totem, hitting thrice as hard. Never afraid to be outnumbered, the Earthshaker turns the tables with a mighty Echo Slam, demolishing entire armies in the process.",2010-11-01,Alpha,2005-03-01,6.00
Elder Titan,Strength,26,3.0,14,1.8,23,1.6,,26,3.0,113.0,14,1.8,66.2,23,1.6,69.4,63,6.4,248.6,310,2.33,49,59,150,100,1.7,0.35,0.97,1800,800,0.6,24,2.85,2,"Even the greatest of Titans err in their work. Trapped in his own flawed creation, the Worldsmith seeks forever to repair the fissured planes. His Natural Order reduces all to its base, disintegrating whatever defenses his foes layer themselves with. From a hidden plane, the Elder Titan summons his Astral Spirit, sending this ghostly form through bodies and past defenses. Once positioned, an Echo Stomp rings out from both Titan and spirit, knocking unconscious all in its wake. The battlefield cracks under the Titan's forge hammer, and a glimpse of creation is seen as the Earth Splitter rends the ground asunder. For what the Worldsmith makes, he can also unmake.",2013-05-02,Beta,2009-06-10,6.60
Huskar,Strength,20,3.3,10,1.5,18,1.5,,20,3.3,115.7,10,1.5,53.5,18,1.5,61.5,48,6.3,230.7,295,0.67,41,46,400,100,1.6,0.3,0.5,1800,800,0.6,24,2.25,2,"Rescued against his will from the Nothl Realm, the revived Huskar found supernatural strength in his own living essence. The Sacred Warrior marks Burning Spears with blood, setting both weapon and lifeforce alight before throwing them at his foes. By sacrificing a portion of his health with Life Break, Huskar lunges towards a single target, causing it to lose an even greater portion of health. With every blow sustained, Berserker's Blood redoubled the Sacred Warrior's speed and made him ever more resilient to magic, facing down his opponent in a bloody fervor until he emerged triumphant.",2011-10-27,Beta,2007-06-10,6.44
Io,Strength,17,3.0,14,1.6,23,1.7,,17,3.0,104.0,14,1.6,60.4,23,1.7,72.3,54,6.3,236.7,320,3.33,45,51,500,100,1.7,0.3,0.4,1800,800,0.7,24,1.95,0,"The phenomenon that is Io manifests on the physical plane as a wisp of light, its purpose beyond mortal understanding. It flits to and fro the battlefield, searching for an ally to Tether to. Those blessed with Io's bond feel their feet lighten as the Wisp channels its own regenerative powers into their body. Should its host falter, Io begins to Overcharge, augmenting that ally's speed while strengthening his resolve. As a force unbound by the laws of corporeal space, Io is able to temporarily Relocate itself and an ally to any point in the world, often saving a companion from certain death.",2012-06-28,Beta,2010-07-26,6.68
Kunkka,Strength,24,3.8,14,1.6,18,1.8,,24,3.8,134.2,14,1.6,60.4,18,1.8,70.2,56,7.2,264.8,315,4.33,50,60,150,100,1.7,0.4,0.3,1800,800,0.6,24,3.15,2,"It is said that none survived the battle at the Trembling Isle, save perhaps, the Admiral of the Claddish fleet. Man or phantom, Kunkka's presence on the battlefield is duly felt by all. Armed with the legendary Tidebringer, the Admiral strikes with a single blow at all who stand before him. A veteran of innumerable naval engagements, Kunkka times his skills with planned precision, catching opponents in a rising Torrent, before summoning the ephemeral Ghostship to dash them upon the rocks.",2011-10-06,Beta,2008-10-07,6.55
Legion Commander,Strength,25,3.3,18,1.7,20,2.2,,25,3.3,120.7,18,1.7,67.3,20,2.2,83.8,63,7.2,271.8,330,3.0,60,64,150,100,1.7,0.46,0.64,1800,800,0.6,24,2.75,2,"Renowned for her intrepid defense of Stonehall, the commander of the Bronze Legion swore a brutal vengeance upon its abyssal invaders. The call of Tresdin's horn heals and hastens her soldiers, inspiring them to Press the Attack. Faced with Overwhelming Odds, the commander calls down a spread of arrows from the archers of Stonehall. But above all, Tresdin relishes the Duel. Locked in single combat, she counterstrikes instinctively, slashing twice in the time her opponent takes to swing once. With each victory claimed, the Legion Commander adds to her strength, scaling her potential upwards without limit.",2013-12-12,Gold,2011-12-24,6.73
Lifestealer,Strength,25,2.4,19,2.6,15,1.8,,25,2.4,94.6,19,2.6,94.4,15,1.8,67.2,59,6.8,256.2,320,4.17,47,53,150,120,1.7,0.39,0.44,1800,800,0.9,24,2.75,2,"What was once a man is now little more than a husk, its mind long since departed from lifetimes of imprisonment. Or has it? Now on the loose, N'aix appears to be driven by a new purpose, although what precisely that is, none would know. The Lifestealer Feasts on raw flesh, nourishing himself with every attack while inflicting grievous Open Wounds that make escape near impossible. By sheer ferocity, or perhaps madness, N'aix flies into a Rage, intensifying his assault while defying all wizardry. For a particularly nasty surprise, the Lifestealer Infests an unhappy victim, hiding inside its body in wait for the opportunity to burst out in a gory explosion.",2011-12-02,Beta,2004-04-08,4.00
Lycan,Strength,26,3.4,16,1.7,23,1.7,,26,3.4,124.6,16,1.7,65.3,23,1.7,72.3,65,6.8,262.2,315,2.67,50,55,150,100,1.7,0.55,0.25,1800,800,0.6,8,2.85,2,"Part man and part wolf, Banehallow stands as the lone surviving heir to the noble house of Ambry. Not one to squander his curse, Banehallow Summons Wolves to scout ahead and aid him in the hunt. A blood-curdling Howl empowers his animal companions, sinking fang and claw into his prey with Feral Impulse. But these abilities pale in comparison to the true manifestation of his lycanthropy. Under the full moon, Banehallow Shapeshifts into the great wolf, and takes on supernatural haste as he sprints unhindered across the battlefield to tear the throats from his enemies.",2012-03-22,Beta,2004-03-01,2.60
Magnus,Strength,25,3.5,15,2.5,19,2.1,,25,3.5,126.5,15,2.5,87.5,19,2.1,79.9,59,8.1,293.9,305,3.5,57,65,150,100,1.8,0.5,0.84,1800,800,0.8,24,3.0,4,"A magnoceros does not believe in chance, and the eruption of Mount Joerlak was no accident. For this reason Magnus set out, never to return to his kin until those responsible had been impaled upon his horn. He charges into battle, Skewering and dragging enemies through any terrain. With a deep bellow, the magnoceros Empowers his companions to strike beyond their normal scope, and devastates entire enemy columns with subterranean Shockwaves. In the midst of the fray, Magnus unleashes his most remarkable ability, Reverse Polarity. Nearby foes are pulled instantly to a spot before him, dazed and immobilized, ready to be dispatched by his allies.",2012-10-04,Beta,2004-02-03,0.60
Marci,Strength,23,3.3,20,2.4,19,1.9,,23,3.3,118.7,20,2.4,89.6,19,1.9,74.1,62,7.6,282.4,310,3.33,56,60,150,100,1.7,0.3,0.5,1800,800,0.9,24,2.55,2,"Proving that undying loyalty yields unrivaled power, Marci always marches into battle ready to Unleash her fury in defense of her companions. Effortlessly Disposing enemies and lifting allies, throwing them around the battlefield, she happily Rebounds into any brawl, able to grant allies a deadly edge as their Sidekick and unleash a hidden power strong enough to make even gods reconsider the widsom of a hostile path.",2021-10-28,Reborn,-,7.30e
Mars,Strength,23,3.7,20,1.7,21,2.2,,23,3.7,130.3,20,1.7,69.3,21,2.2,84.8,64,7.6,284.4,310,2.33,52,60,250,100,1.8,0.4,1.38,1800,800,0.8,24,2.55,2,"Seeking purpose and satisfaction through war, the god Mars now sets his sights on new conquests against his heavenly kin. In one arm he hoists a heavy shield, an impenetrable Bulwark that guards against all assault. Using divine strength, he pierces foes with his legendary Spear, and smashes attackers back with his shield, sending them flying across the battlefield. The undead warriors of the Ash Legion rise at Mars' beckoning to form a circle, ensuring that none may interfere with the glorious combat inside the Arena Of Blood.",2019-03-05,Reborn,-,7.21c
Night Stalker,Strength,23,3.0,18,2.2,15,1.6,,23,3.0,110.0,18,2.2,81.8,15,1.6,61.4,56,6.8,253.2,295,5.0,63,67,150,100,1.7,0.55,0.55,800,1800,0.6,24,4.3,2,"The beast of bedtime tales, Balanar is the primal terror that every child knows to fear. When night falls, Balanar goes on the hunt, moving and striking with devilish swiftness. He inflicts a debilitating Void, slowing and forcing his quarry to flee, arms withering and spells fizzling as their hearts are stricken with Crippling Fear. Even the lighted hours provide no safety from the Night Stalker. When needed, Balanar transforms through a Dark Ascension, spreads his wings under the blackened veil of night, and goes on the prowl for ever more victims.",2011-06-11,Beta,2004-04-30,5.10
Omniknight,Strength,23,3.1,15,2.0,15,1.8,,23,3.1,112.9,15,2.0,73.0,15,1.8,67.2,53,6.9,253.1,315,4.5,54,64,150,100,1.7,0.433,0.567,1800,800,0.6,24,2.55,2,"One of few to ever gaze upon the Omniscience itself, Purist Thunderwrath's faith in the All Seeing One was unshakable. The seasoned knight had been imbued with holy strength, with which he now uses to preserve his allies. The light of Purification not only heals his companions, but burns any foes close by. No sorceries avail against an ally blessed with Heavenly Grace. In decisive moments of battle, Omniknight calls forth the Guardian Angel, granting himself and nearby allies near invulnerability against all physical attacks.",2011-11-03,Beta,2004-03-01,2.60
Phoenix,Strength,23,3.6,12,1.5,16,1.8,,23,3.6,127.4,12,1.5,55.5,16,1.8,68.2,51,6.9,251.1,280,1.0,49,59,525,100,1.7,0.35,0.633,1800,800,0.9,24,3.3,2,"Out of the deep void burst forth infinite stars, among them the cosmic progeny known to mortals as Phoenix. With stellar flame emanating from its terrestrial form, the Phoenix dives the battlefield in an arc, setting ablaze all who pass beneath its wings. Within its ever-collapsing core sprang short-lived Fire Spirits, paroxysms of conscious light that burned with debilitating flame. From afar the firebird beams its Sun Ray, scorching foes, yet nurturing allies. By its own celestial timing, the son of suns ends its current life in a Supernova, radiating intense heat until the mass explodes, restoring Phoenix to its form through the glory of rebirth.",2014-01-29,Gold,2010-12-24,6.70
Primal Beast,Strength,26,4.3,15,1.0,16,1.4,,26,4.3,150.7,15,1.0,44.0,16,1.4,56.6,57,6.7,251.3,305,4.5,62,64,150,100,1.8,0.6,,1800,800,0.6,24,2.6,2,"Rushing savagely through enemies and allies alike, Primal Beast pounds into battle as one born to raise a ruckus. An unavoidable threat amidst any fray, the Beast can punish attackers and relishes grabbing prey to repeatedly slam them against the ground until nothing but mush remains.",2022-02-23,Reborn,-,7.31
Pudge,Strength,25,3.0,14,1.4,16,1.8,,25,3.0,112.0,14,1.4,54.6,16,1.8,68.2,55,6.2,234.8,280,1.33,67,73,175,100,1.7,0.5,1.17,1800,800,0.7,24,4.5,2,"The Butcher loomed over the field, strewn with dead and dying, his body swaying with heaped flesh. Swish, thunk. Pudge hacks tendon from joint, flesh from bone, and gobbles down his grisly harvest. But carcasses were no substitute for fresh meat. So the Butcher lies in wait, peering through foliage with beady eyes. Was it food or foe? Pudge rarely made the distinction. His Meat Hook sails through the air, dragging the prey across the river with a savage yank. Disoriented, the meat stumbles, gagging on a sudden stench of Rot. It looks up at the fleshy hulk, hoping for an answer, only to watch the cleaver fall as the Butcher Dismembers his next meal in a bloody slaughter.",2010-11-01,Alpha,2004-04-30,5.10
Sand King,Strength,22,2.7,19,1.8,19,1.8,,22,2.7,100.3,19,1.8,71.2,19,1.8,71.2,60,6.3,242.7,290,3.17,45,55,150,110,1.7,0.53,0.47,1800,800,0.6,24,2.45,6,"Obscured in the harshest of Sand Storms was Crixalis, guardian and ambassador of the Scintillant Waste. A construct of sentient sand, the Sand King traverses the world in a carapace of Djinn's craft. From beneath the shifting dunes he ambushes enemies with Burrowstrike, inflicting a desiccating venom that causes their corpses to erupt in a Caustic Finale. But true destruction was heralded by a beating tail. Within moments, the ground pulsed with violent tremors, and from its moving Epicenter Crixalis pursued scattering foes until the very last fell to their knees. Across bazaars and between towns, the learned repeat a simple truth. Where the Sand King walks, the earth trembles.",2010-11-01,Alpha,2004-10-22,5.76
Slardar,Strength,21,3.6,17,2.4,15,1.5,,21,3.6,125.4,17,2.4,86.6,15,1.5,58.5,53,7.5,270.5,300,5.83,51,59,150,100,1.7,0.36,0.64,1800,800,0.6,24,2.6,0,"More suited to the comforts of the lightless ocean canyons, Slardar surfaces only to scout, and to track down those who have thieved from the Sunken Treasury. Born under the immense pressure of the deep, he Guardian Sprints with one muscular tail, chasing down legged foes with alarming swiftness. Ever vigilant in his duties, Slardar casts a Corrosive Haze over hidden intruders, revealing their form and softening their armor. Once discovered, there was little time to react. Slardar smashes the ground with a Slithereen Crush, dazing nearby enemies just long enough to pulverize them with Bash of the Deep.",2011-01-18,Beta,2004-02-03,0.60
Snapfire,Strength,20,3.5,16,1.9,21,2.2,,20,3.5,121.5,16,1.9,71.1,21,2.2,84.8,57,7.6,277.4,300,3.67,46,52,500,100,1.6,0.35,1.23,1800,800,0.6,24,2.75,2,"The plucky Keen known as Beatrix Snapfire has survived to venerable old age in the harsh deserts of Nanarak, owing to her ingenious craftsmanship, and overwhelming firepower. Mounted on her dragon toad Mortimer, she dispenses Scatterblasts and Firesnap Cookies alike, while shooting down targets with barrages from Lil' Shredder, her mounted turret. For extremely distant enemies, Mortimer serves as Beatrix's artillery, issuing gobs of firespit from his gullet to cover the battlefield in pools of flame.",2019-11-26,Reborn,-,7.23
Spirit Breaker,Strength,28,3.0,17,1.7,14,1.8,,28,3.0,115.0,17,1.7,66.3,14,1.8,66.2,59,6.5,247.5,295,4.83,59,69,150,100,1.9,0.6,0.3,1800,800,0.6,24,4.05,2,"From the elemental realm, Barathrum crosses into this world as an amalgamate of bestial forms, selected for the purpose of serving his hidden master. Gifted with unusual haste, the Spirit Breaker's strength increases with speed as he Bulldozes all in his path. Given sight of a distant foe, Barathrum initiates a Charge of Darkness, rushing past high valleys and dense woods until he crashes headlong into battle, stunning and knocking back enemies with a Greater Bash. Before foes can muster a response, the Spirit Breaker shifts into his native realm, reappearing up close to deliver the Nether Strike that will seal their fates.",2012-01-12,Beta,2005-05-04,6.07
Sven,Strength,22,3.2,21,2.2,16,1.3,,22,3.2,114.8,21,2.2,84.8,16,1.3,53.7,59,6.7,253.3,325,3.5,63,65,150,100,1.9,0.4,0.3,1800,800,0.6,24,2.45,2,"The Rogue Knight lives by two creeds: Honor, as ordained by his own personal code, and solitude. Using his iron gauntlet, Sven throws out the Storm Hammer to stun multiple foes, then closes in to cut them down with Great Cleave. In the heat of battle, the Rogue Knight calls upon God's Strength, greatly increasing his power as he descends on hapless opponents with his gargantuan blade.",2010-11-01,Alpha,2004-02-03,0.60
Tidehunter,Strength,27,3.5,15,1.5,18,1.7,,27,3.5,128.5,15,1.5,58.5,18,1.7,67.3,60,6.7,254.3,300,2.5,52,58,150,100,1.7,0.6,0.56,1800,800,0.6,24,2.95,2,"Tired of undersea politics, Leviathan rises from the waves to stalk the shallows for victims. Travelers who cross him are blasted with a Gush of foamy brine, impairing their movement as the Tidehunter lumbers after them on land. Wielding a souvenir stolen from a hated rival, Leviathan pulverizes armor and flesh alike with a hefty Anchor Smash. Spears and arrows bend against his Kraken Shell, allowing no chance for interruption as the Tidehunter summons his abyssal god to Ravage enemies in a sea of flailing tentacles.",2010-11-01,Alpha,2004-10-11,5.74
Timbersaw,Strength,24,3.2,16,1.6,23,2.7,,24,3.2,116.8,16,1.6,62.4,23,2.7,101.3,63,7.5,280.5,290,2.67,51,55,150,100,1.7,0.36,0.64,1800,800,0.6,24,2.65,2,"Rizzrack had good cause to be paranoid. Augury Bay fell to the walking trees, its inhabitants crushed under branch and bough. But that was the past. The new saw-suit changed everything. Its long Timber Chain shot out, grasping the nearest trunk and pulling the suit towards it. In an instant, a dozen trees fell in a circle to the oversized saw. Whirling Death, I'll call it! But that was not all. A press of the button, and the bladed Chakram flew into the forest, cutting down even the sturdiest of hardwoods. Delirious with success, Rizzrack sent the saw spinning in all directions, cackling until all that remained was a field of naked stumps. Now, he was ready to face his fears.",2012-12-13,Beta,2011-12-24,6.73
Tiny,Strength,30,4.0,0,0.0,17,2.2,,30,4.0,146.0,0,0.0,0.0,17,2.2,80.8,47,6.2,226.8,295,0.0,61,67,150,90,1.7,0.4,0.7,1800,800,0.6,24,4.5,2,"A curious being of animated stone, Tiny roams the world in search of his origins. Seemingly mild-mannered, the Stone Giant is nonetheless a force to behold as he brings down an Avalanche of boulders. With a simple Toss, Tiny throws friends and foes alike across the battlefield, landing them on top of enemies and into the fray. In time and with experience, Tiny Grows larger and more powerful. Some have even claimed to witness the Stone Giant wielding a massive tree, bludgeoning at a fortress until only rubble remained.",2011-02-19,Beta,2005-03-01,6.00
Treant Protector,Strength,25,3.4,15,2.0,20,1.8,,25,3.4,123.6,15,2.0,73.0,20,1.8,72.2,60,7.2,268.8,285,1.5,87,95,150,100,1.9,0.6,0.4,1800,800,0.6,24,2.75,2,"From beyond the Vale of Augury comes Rooftrellen, a lone explorer sent forth by his ancient race to survey the wider world. Barely distinguishable from his arboreal brethren, the Treant Protector summons a wall of vines with Nature's Grasp, draining foes with Leech Seed while protecting allies with Living Armor. Given possession of one mystical scepter, Rooftrellen enchants trees to serve as his Eyes in the Forest. Unsuspecting foes may find themselves in an Overgrowth of vines and roots, fully immobilized for that which awaits them.",2012-05-17,Beta,2004-09-23,5.65
Tusk,Strength,23,3.9,23,2.1,18,1.7,,23,3.9,136.1,23,2.1,83.9,18,1.7,67.3,64,7.7,287.3,310,4.83,50,54,150,100,1.7,0.36,0.64,1800,800,0.7,24,3.05,2,"Amidst broken stools and shattered bottles, the bewildered barkeep issued Ymir his greatest challenge. Find a proper battle, and win it for whichever side he chose. With that, the champion brawler strode forth, bringing with him the northern elements in the form of a frozen sigil. To make sure no opponent chickens out, Ymir throws down a field of Ice Shards, cutting off all retreat. Gathering both snow and allies, Ymir rolls into battle as an unstoppable Snowball, stunning foes in its path. For a finale, the Tusk winds up his drinking arm, and launches his opponent into orbit with one good, solid Walrus PUNCH!",2013-02-14,Beta,2010-12-24,6.70
Underlord,Strength,25,3.0,12,1.6,17,2.3,,25,3.0,112.0,12,1.6,58.4,17,2.3,83.7,54,6.9,254.1,290,5.0,62,68,200,100,1.7,0.45,0.7,1800,800,0.6,24,2.75,2,"Through a Dark Rift comes the legions of the Abyssal Horde, marching out of their subterranean city with intent to conquer the nations above. Amidst the invaders stood Vrogros, the demonic hulk who rained apocalyptic Firestorms from the sky, engulfing towns and villages in emerald flame. Unsatisfied with ruling the lands below, the Underlord steps into the sunlight to expand his dominion over the surface world. Trapped in a Pit of Malice, the newly enslaved can only lament their dismal fate from now until the day when all is consumed by the yawning abyss.",2016-08-23,Reborn,2007-06-10,6.44
